location,datetime,tempmax,dew,humidity,solarradiation
homagama,2017-01-20,30.1,21.1,72.9,220.4
homagama,2017-01-21,32.1,22.8,78.6,225.9
homagama,2017-01-22,31.1,22.5,77.1,137
homagama,2017-01-23,30.1,22.3,78.6,126.6
homagama,2017-01-24,28.1,21.9,82.7,115.1
homagama,2017-01-25,31.1,22.7,79.6,181.1
homagama,2017-01-26,32.1,22.9,77.4,214.7
homagama,2017-01-27,27.8,23.5,89.4,53.5
homagama,2017-01-28,30.2,22.7,79.6,217.3
homagama,2017-01-29,33.1,23,81.1,240.4
homagama,2017-01-30,31.1,23.2,82.4,194.3
homagama,2017-01-31,32.1,21.8,74.9,243.6
homagama,2017-02-01,31.5,21.2,74.2,271.1
homagama,2017-02-02,32.1,19.5,67.6,275.1
homagama,2017-02-03,33.1,17.4,58.3,288.3
homagama,2017-02-04,32.1,17,59.8,256.2
homagama,2017-02-05,30.2,18.6,64.7,243.6
homagama,2017-02-06,31.1,18.9,64.3,287.8
homagama,2017-02-07,30.4,17.9,64.6,284.9
homagama,2017-02-08,29.1,19.8,71.7,256.4
homagama,2017-02-09,30.3,19.5,69.3,232.7
homagama,2017-02-10,30.2,19.7,68.3,254.3
homagama,2017-02-11,30.2,20.3,69.1,270.2
homagama,2017-02-12,31.3,19.3,64.1,248.9
homagama,2017-02-13,34.1,19.9,65.2,254.5
homagama,2017-02-14,34.1,22.1,74.9,215.5
homagama,2017-02-15,34.1,22,70.3,240.5
homagama,2017-02-16,34.5,19.5,59.8,273.8
homagama,2017-02-17,34.1,19.7,61.2,259.8
homagama,2017-02-18,33.1,21.5,69.8,244.4
homagama,2017-02-19,32.1,22.9,79.5,163.8
homagama,2017-02-20,32.1,21.7,72.6,141.1
homagama,2017-02-21,30.6,22.6,76.9,247.3
homagama,2017-02-22,30.5,22.7,76.7,241.3
homagama,2017-02-23,31.1,22.6,73.6,250.1
homagama,2017-02-24,31.1,22.8,75.3,242.7
homagama,2017-02-25,31.1,22.6,76.2,234
homagama,2017-02-26,29.1,22.5,79.3,61.3
homagama,2017-02-27,29.8,22.2,75.2,195.4
homagama,2017-02-28,30.1,22.9,79.5,200
homagama,2017-03-01,30.1,22,77,158.4
homagama,2017-03-02,33.1,22.2,75.1,194.3
homagama,2017-03-03,31.4,22.6,75.8,242.9
homagama,2017-03-04,31,23.3,78.7,227.6
homagama,2017-03-05,32.3,22.7,73,262
homagama,2017-03-06,32,23.6,73.9,273.7
homagama,2017-03-07,31.6,23.6,73.2,247.1
homagama,2017-03-08,31.7,23.6,76.9,242.7
homagama,2017-03-09,31.5,23.8,78.2,263.8
homagama,2017-03-10,31.8,23.3,81.6,216.5
homagama,2017-03-11,30.9,23.2,82.2,171.2
homagama,2017-03-12,31.5,23.3,77.7,255.4
homagama,2017-03-13,32,23.3,78.9,244
homagama,2017-03-14,31.1,23.1,78.3,230.3
homagama,2017-03-15,32.1,22.8,82.1,240.5
homagama,2017-03-16,31.2,22.8,80.6,227
homagama,2017-03-17,31.5,23,76.5,271.9
homagama,2017-03-18,31.6,23.8,76.1,257.2
homagama,2017-03-19,31.8,24.1,77,252.9
homagama,2017-03-20,31.9,24,78.5,240.7
homagama,2017-03-21,32,23.7,74.8,269.8
homagama,2017-03-22,32.2,24,76.7,292.3
homagama,2017-03-23,32.2,23.2,74.5,271.4
homagama,2017-03-24,32.3,22.3,69.6,279.2
homagama,2017-03-25,31.5,22.1,69.4,239.4
homagama,2017-03-26,31.7,21.5,68.8,263.4
homagama,2017-03-27,31.1,22.3,70.4,221
homagama,2017-03-28,32.4,23.3,75.1,226.9
homagama,2017-03-29,32.2,23.7,80.6,221.3
homagama,2017-03-30,32.3,23.8,78.6,262.7
homagama,2017-03-31,32,24.4,79.6,247.8
homagama,2017-04-01,32.4,24.6,78.4,248.2
homagama,2017-04-02,32.2,23.9,74.9,234
homagama,2017-04-03,32.8,24.1,75.9,231.3
homagama,2017-04-04,32.3,24,76.6,208.9
homagama,2017-04-05,32.9,24.5,76.4,245.1
homagama,2017-04-06,32.5,24.6,75.6,244.1
homagama,2017-04-07,32.7,24.9,75.3,273
homagama,2017-04-08,32.9,24.6,74.6,245.7
homagama,2017-04-09,32.4,24.4,77.2,258
homagama,2017-04-10,32.5,24,74.1,249.2
homagama,2017-04-11,32.6,24.6,77.6,241.4
homagama,2017-04-12,32.1,23.9,81.7,188.1
homagama,2017-04-13,31.1,24.3,81.5,147.9
homagama,2017-04-14,32.9,24.4,77.6,219.8
homagama,2017-04-15,32.7,25,75.1,256.4
homagama,2017-04-16,32.9,24.8,72.8,257.5
homagama,2017-04-17,32.6,25.3,73.8,224.3
homagama,2017-04-18,32.2,24.7,72.4,235.1
homagama,2017-04-19,32.3,24.5,71.6,234.4
homagama,2017-04-20,32.8,24.2,71.6,250.7
